champion_id,champion_name,overall_games,overall_wins,overall_win_rate,classification,classification_reason,peak_bin,peak_win_rate,gap_pp,-20m_games,-20m_wins,-20m_win_rate,-20m_low_95,-20m_high_95,20-25m_games,20-25m_wins,20-25m_win_rate,20-25m_low_95,20-25m_high_95,25-30m_games,25-30m_wins,25-30m_win_rate,25-30m_low_95,25-30m_high_95,30-35m_games,30-35m_wins,30-35m_win_rate,30-35m_low_95,30-35m_high_95,35m-_games,35m-_wins,35m-_win_rate,35m-_low_95,35m-_high_95
233,ブライアー,507,267,0.5266272189349113,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,30〜35分,0.5798319327731093,9.411764705882359,77,43,0.5584415584415584,0.4473803679096196,0.6639484528955103,70,34,0.4857142857142857,0.3724568238273813,0.6004581725973981,113,58,0.5132743362831859,0.42220637468328037,0.6034694120228243,119,69,0.5798319327731093,0.49001340101862806,0.6646573294179668,128,63,0.4921875,0.4070759798715471,0.5777543013143609
234,ヴィエゴ,507,232,0.45759368836291914,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,20〜25分,0.5142857142857142,11.07769423558897,84,41,0.4880952380952381,0.38408171813322184,0.5931500262794481,70,36,0.5142857142857142,0.39954182740260175,0.6275431761726186,114,46,0.40350877192982454,0.31801860350272454,0.4952901092099338,127,60,0.47244094488188976,0.38770169986669717,0.5587984957897302,112,49,0.4375,0.3492101316397166,0.5299351840327189
101,ゼラス,501,278,0.5548902195608783,序盤寄り,〜20分が最高、長時間帯との差 12.3%,〜20分,0.6511627906976745,12.316279069767443,86,56,0.6511627906976745,0.5459335479566195,0.7434646818166704,63,34,0.5396825396825397,0.4178903692159613,0.656913345835743,100,53,0.53,0.4328868313724773,0.6248934801789626,127,69,0.5433070866141733,0.4566732512774611,0.6273978698338676,125,66,0.528,0.44095936742177405,0.6133709109976185
804,ユナラ,496,250,0.5040322580645161,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,30〜35分,0.5396825396825397,8.337186007088915,86,45,0.5232558139534884,0.4189764160545852,0.6255463885259211,74,36,0.4864864864864865,0.37611598006562663,0.5981908173280549,107,54,0.5046728971962616,0.41143094215329845,0.5975909413272719,126,68,0.5396825396825397,0.45276761226937695,0.6242493068074058,103,47,0.4563106796116505,0.3634207653135534,0.5523423831230108
131,ダイアナ,495,247,0.498989898989899,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,25〜30分,0.5223880597014925,11.91622532498796,57,29,0.5087719298245614,0.38259680329032353,0.6338393193625982,62,25,0.4032258064516129,0.2902468291165249,0.5274975756367011,134,70,0.5223880597014925,0.43837443621342537,0.6051537874868218,125,63,0.504,0.41754620249417757,0.59021526585145,117,60,0.5128205128205128,0.4232920424346018,0.601533845339145
901,スモルダー,479,232,0.48434237995824636,終盤寄り,35分〜が最高、短時間帯との差 10.1%,35分〜,0.546875,10.092905405405405,74,33,0.44594594594594594,0.33815638584551055,0.5590708037292154,59,32,0.5423728813559322,0.4165761502342809,0.6629889785975757,92,38,0.41304347826086957,0.31788936478397756,0.5151685140494309,126,59,0.46825396825396826,0.38335752175424204,0.5550289429843319,128,70,0.546875,0.4605248014915979,0.6304935113929545
84,アカリ,477,250,0.5241090146750524,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,35分〜,0.5892857142857143,11.869747899159666,89,49,0.550561797752809,0.4472614742822269,0.6496778287888102,70,35,0.5,0.38595518987336214,0.6140448101266378,104,52,0.5,0.40563022613791994,0.5943697738620801,102,48,0.47058823529411764,0.3765574986256038,0.5667540159395579,112,66,0.5892857142857143,0.4966864518713796,0.6759630971679984
86,ガレン,472,251,0.5317796610169492,中盤寄り,中間帯が最高、端点との差 9.1%,20〜25分,0.6086956521739131,9.05138339920949,80,41,0.5125,0.4049314460370689,0.6189230605563166,69,42,0.6086956521739131,0.49073776035898703,0.715188523522751,115,61,0.5304347826086957,0.43971596277968295,0.6191859705500603,98,50,0.5102040816326531,0.41272874059974574,0.6069095997248368,110,57,0.5181818181818182,0.42577772382313195,0.6093588167736271
875,セト,469,243,0.5181236673773987,序盤寄り,〜20分が最高、長時間帯との差 9.8%,〜20分,0.6301369863013698,9.802689455825053,73,46,0.6301369863013698,0.5154917299781843,0.7317701698260883,64,34,0.53125,0.41071875000475133,0.6482421235595515,109,44,0.4036697247706422,0.31636285992031193,0.4975355605203767,114,61,0.5350877192982456,0.44388224357839473,0.624005497253366,109,58,0.5321100917431193,0.4389455497458302,0.6230883101072736
36,ドクター・ムンド,457,234,0.5120350109409191,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,30〜35分,0.5566037735849056,12.182116488925349,76,42,0.5526315789473685,0.4410031528161145,0.6591952400016647,72,33,0.4583333333333333,0.34828438695135916,0.5726033580329238,92,40,0.43478260869565216,0.3381140282933585,0.5366793808316977,106,59,0.5566037735849056,0.4616974618645223,0.6475507646726002,111,60,0.5405405405405406,0.44802693921571074,0.6303418748725639
