scope,observed_tier,patch,role,champion_id,champion_name,games,wins,losses,win_rate,pick_count,pick_rate,pick_rate_denominator,avg_kda,avg_cs_per_min,avg_gold_per_min,avg_damage_share,avg_vision_score,first_blood_rate,first_tower_rate,ban_count,ban_match_count,ban_rate,min_games_applied
overall,MIXED,16.17,BOTTOM,804,Yunara,78,41,37,0.5256410256410257,78,0.07738095238095238,1008,3.431524031524032,7.053588998630717,444.4928302270065,0.22457418891722256,17.358974358974358,0.15384615384615385,0.08974358974358974,10,10,0.01984126984126984,15
overall,MIXED,16.13,UTILITY,147,Seraphine,77,44,33,0.5714285714285714,77,0.1171993911719939,657,4.14313777852739,1.0972718391735174,289.26974638092514,0.12950175036174824,62.532467532467535,0.03896103896103896,0.025974025974025976,104,96,0.2917933130699088,15
overall,MIXED,16.13,ALL,122,Darius,77,42,35,0.5454545454545454,77,0.023404255319148935,3290,2.6737641146732054,6.472539476984072,397.65994302722174,0.2289115324530734,18.428571428571427,0.2597402597402597,0.2857142857142857,29,29,0.08814589665653495,15
overall,MIXED,16.16,ALL,111,Nautilus,77,35,42,0.45454545454545453,77,0.02312312312312312,3330,3.8814157343378115,0.9288663535825425,277.8965425868846,0.10217608314788006,71.18181818181819,0.07792207792207792,0.025974025974025976,62,60,0.18018018018018017,15
overall,MIXED,16.16,UTILITY,111,Nautilus,77,35,42,0.45454545454545453,77,0.11561561561561562,666,3.8814157343378115,0.9288663535825425,277.8965425868846,0.10217608314788006,71.18181818181819,0.07792207792207792,0.025974025974025976,62,60,0.18018018018018017,15
overall,MIXED,16.16,BOTTOM,145,Kaisa,76,31,45,0.40789473684210525,76,0.11411411411411411,666,3.3453264936817564,7.072542007240464,442.639409057178,0.20387475743639483,16.592105263157894,0.19736842105263158,0.11842105263157894,40,40,0.12012012012012012,15
overall,MIXED,16.15,ALL,82,Mordekaiser,75,43,32,0.5733333333333334,75,0.018159806295399514,4130,4.109297258297258,5.843304564552983,391.39420308194,0.2394635892737934,19.0,0.09333333333333334,0.2,120,106,0.2566585956416465,15
overall,MIXED,16.17,ALL,103,Ahri,75,40,35,0.5333333333333333,75,0.01488095238095238,5040,3.4009172679172672,6.128698124902686,362.19349528817713,0.21572129115163516,22.28,0.05333333333333334,0.08,29,29,0.057539682539682536,15
overall,MIXED,16.17,MIDDLE,103,Ahri,75,40,35,0.5333333333333333,75,0.0744047619047619,1008,3.4009172679172672,6.128698124902686,362.19349528817713,0.21572129115163516,22.28,0.05333333333333334,0.08,29,29,0.057539682539682536,15
overall,MIXED,16.15,MIDDLE,777,Yone,75,37,38,0.49333333333333335,75,0.09079903147699758,826,2.6994574314574313,6.516140256133925,399.41433359367795,0.2535331836101028,22.04,0.13333333333333333,0.12,76,74,0.1791767554479419,15
overall,MIXED,16.15,ALL,111,Nautilus,75,27,48,0.36,75,0.018159806295399514,4130,3.5269047619047624,0.9609916442820442,282.2268289601875,0.10828909668228555,56.973333333333336,0.06666666666666667,0.0,67,65,0.15738498789346247,15
overall,MIXED,16.13,TOP,122,Darius,74,40,34,0.5405405405405406,74,0.11246200607902736,658,2.7094443844443843,6.464807166379604,398.04094821345734,0.23215623514337835,18.04054054054054,0.2702702702702703,0.2972972972972973,29,29,0.08814589665653495,15
overall,MIXED,16.15,UTILITY,111,Nautilus,74,26,48,0.35135135135135137,74,0.08958837772397095,826,3.4968629343629347,0.8495730158364807,278.5643032523078,0.10719886484466898,57.554054054054056,0.06756756756756757,0.0,67,65,0.15738498789346247,15
overall,MIXED,16.14,ALL,27,Singed,72,43,29,0.5972222222222222,72,0.020689655172413793,3480,3.23547752401919,7.8146560784798,421.73302497310635,0.22886523698633698,20.15277777777778,0.08333333333333333,0.125,10,10,0.028735632183908046,15
overall,MIXED,16.14,MIDDLE,777,Yone,72,41,31,0.5694444444444444,72,0.10344827586206896,696,2.7856476471059803,6.09156663123793,391.1377569403159,0.2351365639319368,17.805555555555557,0.05555555555555555,0.125,58,56,0.16091954022988506,15
overall,MIXED,16.16,ALL,51,Caitlyn,71,42,29,0.5915492957746479,71,0.02132132132132132,3330,3.6582202812836613,7.171803241710806,442.1241102934426,0.22302474036825518,18.366197183098592,0.16901408450704225,0.3380281690140845,49,48,0.14414414414414414,15
overall,MIXED,16.17,ALL,22,Ashe,71,36,35,0.5070422535211268,71,0.014087301587301588,5040,3.7560860891846812,6.017157944524728,403.02454109260117,0.20556335233393727,17.87323943661972,0.09859154929577464,0.11267605633802817,78,74,0.14682539682539683,15
overall,MIXED,16.15,ALL,112,Viktor,71,36,35,0.5070422535211268,71,0.01719128329297821,4130,3.4264117889842822,6.348278448802806,375.3242524506284,0.2505940530714863,20.450704225352112,0.1267605633802817,0.07042253521126761,96,89,0.21549636803874092,15
overall,MIXED,16.15,ALL,875,Sett,71,35,36,0.49295774647887325,71,0.01719128329297821,4130,1.8490399662934878,6.219007007523727,380.2044642210079,0.257252791326078,20.64788732394366,0.22535211267605634,0.19718309859154928,14,14,0.03389830508474576,15
overall,MIXED,16.14,UTILITY,147,Seraphine,71,27,44,0.38028169014084506,71,0.10201149425287356,696,3.7185295533887084,1.316988359300604,289.0620896837061,0.13498675451038825,66.05633802816901,0.056338028169014086,0.0,160,141,0.4051724137931034,15
overall,MIXED,16.14,TOP,122,Darius,70,41,29,0.5857142857142857,70,0.10057471264367816,696,3.725132764061335,6.822192458356746,415.0028740886302,0.24244506365120105,20.571428571428573,0.18571428571428572,0.22857142857142856,16,16,0.04597701149425287,15
overall,MIXED,16.16,UTILITY,147,Seraphine,70,36,34,0.5142857142857142,70,0.10510510510510511,666,4.09902490366776,1.23944959649151,289.74456581920185,0.13348697116262648,74.54285714285714,0.1,0.0,102,91,0.2732732732732733,15
overall,MIXED,16.16,ALL,82,Mordekaiser,70,31,39,0.44285714285714284,70,0.021021021021021023,3330,2.897674468388754,5.982485405992091,381.17472002699424,0.25563470094076773,20.8,0.08571428571428572,0.12857142857142856,73,67,0.2012012012012012,15
overall,MIXED,16.15,ALL,45,Veigar,69,43,26,0.6231884057971014,69,0.016707021791767553,4130,3.9308149177714378,6.114606393217771,409.7695028949365,0.22642906400400298,25.579710144927535,0.014492753623188406,0.057971014492753624,52,50,0.12106537530266344,15
overall,MIXED,16.16,BOTTOM,51,Caitlyn,69,42,27,0.6086956521739131,69,0.1036036036036036,666,3.7422145889537184,7.17081794513296,444.5052979593603,0.22474083432728645,17.840579710144926,0.17391304347826086,0.3333333333333333,49,48,0.14414414414414414,15
overall,MIXED,16.14,ALL,99,Lux,69,36,33,0.5217391304347826,69,0.019827586206896553,3480,3.772512069251198,2.2843779751689843,331.0879954904351,0.2145151252445085,52.768115942028984,0.07246376811594203,0.028985507246376812,19,19,0.05459770114942529,15
overall,MIXED,16.15,TOP,875,Sett,69,33,36,0.4782608695652174,69,0.08353510895883777,826,1.808915520872043,6.2884263737644,379.7385319815484,0.2601247310484239,19.782608695652176,0.21739130434782608,0.2028985507246377,14,14,0.03389830508474576,15
overall,MIXED,16.16,ALL,21,MissFortune,69,31,38,0.4492753623188406,69,0.02072072072072072,3330,4.199357888488324,6.664751654021879,450.40495661912047,0.21710053279749522,19.246376811594203,0.11594202898550725,0.08695652173913043,27,27,0.08108108108108109,15
overall,MIXED,16.16,ALL,22,Ashe,68,38,30,0.5588235294117647,68,0.02042042042042042,3330,3.9240467457379227,6.518900921772432,415.52724253127343,0.2018046131236748,20.485294117647058,0.16176470588235295,0.08823529411764706,42,39,0.11711711711711711,15
overall,MIXED,16.14,ALL,22,Ashe,68,32,36,0.47058823529411764,68,0.01954022988505747,3480,3.3870107489689536,5.836236155673222,397.43084298322003,0.2045125740633403,21.676470588235293,0.17647058823529413,0.058823529411764705,45,42,0.1206896551724138,15
overall,MIXED,16.16,BOTTOM,21,MissFortune,68,30,38,0.4411764705882353,68,0.1021021021021021,666,4.222877857436681,6.655796169084977,450.71704912917704,0.21701716401024074,19.220588235294116,0.11764705882352941,0.08823529411764706,27,27,0.08108108108108109,15
overall,MIXED,16.15,TOP,82,Mordekaiser,67,39,28,0.582089552238806,67,0.0811138014527845,826,3.9781579117400026,5.879327798998739,391.24921678232033,0.25048867837368055,19.17910447761194,0.1044776119402985,0.22388059701492538,120,106,0.2566585956416465,15
