scope,observed_tier,patch,role,spell_id,spell_name,games,wins,losses,win_rate,pick_rate,pick_rate_denominator,min_games_applied
overall,MIXED,14.19,ALL,12,テレポート,170,84,86,0.49411764705882355,0.40476190476190477,420,15
overall,MIXED,16.12,JUNGLE,4,フラッシュ,169,86,83,0.5088757396449705,0.949438202247191,178,15
overall,MIXED,14.20,ALL,12,テレポート,169,85,84,0.5029585798816568,0.3673913043478261,460,15
overall,MIXED,15.13,TOP,12,テレポート,169,83,86,0.4911242603550296,0.8802083333333334,192,15
overall,MIXED,16.12,TOP,4,フラッシュ,168,82,86,0.4880952380952381,0.9438202247191011,178,15
overall,MIXED,15.14,ALL,12,テレポート,166,80,86,0.4819277108433735,0.36086956521739133,460,15
overall,MIXED,16.8,ALL,14,イグナイト,164,89,75,0.5426829268292683,0.2342857142857143,700,15
overall,MIXED,16.2,ALL,14,イグナイト,164,83,81,0.5060975609756098,0.23098591549295774,710,15
overall,MIXED,16.3,JUNGLE,4,フラッシュ,164,83,81,0.5060975609756098,0.9318181818181818,176,15
overall,MIXED,16.3,TOP,4,フラッシュ,164,83,81,0.5060975609756098,0.9318181818181818,176,15
overall,MIXED,15.13,MIDDLE,12,テレポート,163,80,83,0.49079754601226994,0.8534031413612565,191,15
overall,MIXED,15.17,ALL,11,スマイト,162,81,81,0.5,0.2,810,15
overall,MIXED,15.17,JUNGLE,11,スマイト,162,81,81,0.5,1.0,162,15
overall,MIXED,16.5,ALL,11,スマイト,162,81,81,0.5,0.2,810,15
overall,MIXED,16.5,JUNGLE,11,スマイト,162,81,81,0.5,1.0,162,15
overall,MIXED,15.13,ALL,21,バリア,162,81,81,0.5,0.16875,960,15
overall,MIXED,16.5,BOTTOM,4,フラッシュ,162,81,81,0.5,1.0,162,15
overall,MIXED,16.14,TOP,6,ゴースト,161,93,68,0.577639751552795,0.23132183908045978,696,15
overall,MIXED,15.17,BOTTOM,4,フラッシュ,161,80,81,0.4968944099378882,0.9938271604938271,162,15
overall,MIXED,15.13,BOTTOM,21,バリア,160,79,81,0.49375,0.8333333333333334,192,15
overall,MIXED,15.17,MIDDLE,4,フラッシュ,160,79,81,0.49375,0.9876543209876543,162,15
overall,MIXED,16.9,ALL,11,スマイト,158,79,79,0.5,0.2,790,15
overall,MIXED,16.9,JUNGLE,11,スマイト,158,79,79,0.5,1.0,158,15
overall,MIXED,16.5,MIDDLE,4,フラッシュ,158,79,79,0.5,0.9753086419753086,162,15
overall,MIXED,16.5,TOP,4,フラッシュ,157,80,77,0.5095541401273885,0.9691358024691358,162,15
overall,MIXED,15.17,JUNGLE,4,フラッシュ,157,79,78,0.5031847133757962,0.9691358024691358,162,15
overall,MIXED,15.17,UTILITY,4,フラッシュ,157,79,78,0.5031847133757962,0.9751552795031055,161,15
overall,MIXED,16.5,JUNGLE,4,フラッシュ,157,79,78,0.5031847133757962,0.9691358024691358,162,15
overall,MIXED,16.9,BOTTOM,4,フラッシュ,157,79,78,0.5031847133757962,0.9936708860759493,158,15
overall,MIXED,16.10,MIDDLE,12,テレポート,157,78,79,0.4968152866242038,0.7072072072072072,222,15
overall,MIXED,16.4,ALL,14,イグナイト,157,75,82,0.47770700636942676,0.2962264150943396,530,15
overall,MIXED,16.5,UTILITY,4,フラッシュ,156,79,77,0.5064102564102564,0.9629629629629629,162,15
overall,MIXED,16.9,MIDDLE,4,フラッシュ,156,79,77,0.5064102564102564,0.9873417721518988,158,15
overall,MIXED,16.9,UTILITY,4,フラッシュ,156,78,78,0.5,0.9873417721518988,158,15
overall,MIXED,16.18,TOP,14,イグナイト,155,86,69,0.5548387096774193,0.46130952380952384,336,15
overall,MIXED,16.1,ALL,11,スマイト,154,77,77,0.5,0.2,770,15
overall,MIXED,16.1,JUNGLE,11,スマイト,154,77,77,0.5,1.0,154,15
overall,MIXED,16.7,ALL,11,スマイト,154,77,77,0.5,0.2,770,15
overall,MIXED,16.7,JUNGLE,11,スマイト,154,77,77,0.5,1.0,154,15
overall,MIXED,16.1,BOTTOM,4,フラッシュ,154,77,77,0.5,1.0,154,15
overall,MIXED,16.7,BOTTOM,4,フラッシュ,153,76,77,0.49673202614379086,0.9935064935064936,154,15
overall,MIXED,16.7,MIDDLE,4,フラッシュ,153,76,77,0.49673202614379086,0.9935064935064936,154,15
overall,MIXED,16.1,MIDDLE,4,フラッシュ,152,77,75,0.506578947368421,0.987012987012987,154,15
overall,MIXED,16.6,ALL,11,スマイト,152,76,76,0.5,0.2,760,15
overall,MIXED,16.6,JUNGLE,11,スマイト,152,76,76,0.5,1.0,152,15
overall,MIXED,15.17,TOP,4,フラッシュ,152,76,76,0.5,0.9382716049382716,162,15
overall,MIXED,16.6,BOTTOM,4,フラッシュ,152,76,76,0.5,1.0,152,15
overall,MIXED,16.7,JUNGLE,4,フラッシュ,152,76,76,0.5,0.987012987012987,154,15
overall,MIXED,16.7,UTILITY,4,フラッシュ,152,76,76,0.5,0.987012987012987,154,15
overall,MIXED,15.17,ALL,21,バリア,151,76,75,0.5033112582781457,0.18641975308641975,810,15
overall,MIXED,16.9,JUNGLE,4,フラッシュ,151,74,77,0.4900662251655629,0.9556962025316456,158,15
